vin,timestamp,end_time,odo,end_odo,soc,end_soc,duration,avg_speed,event_id,event_emb_0,event_emb_1,charge_mode_emb_0,charge_mode_emb_1
2.0,2828.5666666666666,2830.366666666667,2322.265625,2411.515625,49.0,26.6,108.0,49.58333333333333,46,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2830.366666666667,2830.5666666666666,2411.515625,2419.8125,26.6,25.8,12.0,41.484375,47,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2830.5666666666666,2830.75,2419.8125,2419.84375,25.8,25.4,11.0,0.17045454545454547,48,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2830.75,2834.65,2419.84375,2498.796875,25.4,12.1,234.0,20.244391025641026,49,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2834.6666666666665,2834.8,2498.796875,2502.71875,12.1,11.3,8.0,29.4140625,50,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2835.05,2835.05,2502.71875,2502.75,10.9,10.9,0.0,inf,51,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2835.0666666666666,2836.15,2502.75,2502.75,10.9,20.0,65.0,0.0,52,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,2836.15,2836.2833333333333,2502.75,2507.140625,20.0,18.8,8.0,32.9296875,53,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2854.35,2854.6666666666665,2507.140625,2520.84375,20.3,18.4,19.0,43.27302631578947,54,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2854.6666666666665,2857.383333333333,2520.84375,2520.84375,18.4,34.9,163.0,0.0,55,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,2857.383333333333,2857.4333333333334,2520.84375,2521.03125,34.9,34.9,3.0,3.75,56,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2860.266666666667,2860.55,2521.03125,2535.15625,35.2,32.1,17.0,49.85294117647059,57,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2874.883333333333,2875.4,2535.15625,2541.265625,30.5,29.8,31.0,11.824596774193548,58,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2875.4,2875.6,2541.265625,2547.1875,29.8,28.6,12.0,29.609375,59,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2875.883333333333,2876.15,2547.1875,2557.328125,28.2,27.0,16.0,38.02734375,60,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2877.8,2877.95,2557.328125,2562.8125,26.6,25.8,9.0,36.5625,61,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2878.1,2878.3333333333335,2562.8125,2573.890625,25.8,24.3,14.0,47.47767857142857,62,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2878.35,2883.55,2573.890625,2573.890625,24.3,41.1,312.0,0.0,63,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,2883.55,2883.5833333333335,2573.890625,2574.078125,41.1,41.1,2.0,5.625,64,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2884.05,2884.2,2574.078125,2582.265625,41.1,39.6,9.0,54.583333333333336,65,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2884.483333333333,2884.6666666666665,2582.265625,2588.34375,39.2,38.4,11.0,33.15340909090909,66,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2899.116666666667,2899.6666666666665,2588.34375,2609.625,36.8,34.1,33.0,38.69318181818181,67,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2899.6666666666665,2900.366666666667,2609.625,2609.65625,34.1,33.3,42.0,0.044642857142857144,68,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2900.366666666667,2900.4333333333334,2609.65625,2611.796875,33.3,33.7,4.0,32.109375,69,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2901.016666666667,2901.116666666667,2611.796875,2614.203125,33.7,33.3,6.0,24.0625,70,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2921.0333333333333,2921.3166666666666,2614.203125,2625.515625,32.1,30.1,17.0,39.9264705882353,71,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2921.383333333333,2922.0,2625.515625,2649.546875,30.1,26.2,37.0,38.96959459459459,72,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2926.016666666667,2926.2833333333333,2649.546875,2657.875,25.8,24.3,16.0,31.23046875,73,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2926.383333333333,2926.6,2657.875,2664.53125,24.3,23.9,13.0,30.721153846153847,74,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2926.9166666666665,2927.0333333333333,2664.53125,2667.984375,23.5,23.1,7.0,29.598214285714285,75,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2927.4166666666665,2927.55,2667.984375,2671.890625,23.1,22.7,8.0,29.296875,76,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2927.85,2928.2,2671.890625,2687.1875,22.3,19.2,21.0,43.705357142857146,77,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2929.2166666666667,2929.45,2687.1875,2694.96875,19.2,17.6,14.0,33.348214285714285,78,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2929.5833333333335,2929.8333333333335,2694.96875,2704.03125,17.6,16.0,15.0,36.25,79,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2946.1666666666665,2946.616666666667,2704.03125,2718.265625,15.6,13.3,27.0,31.631944444444443,80,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2946.8166666666666,2947.2,2718.265625,2734.28125,12.9,10.5,23.0,41.77989130434782,81,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2949.25,2949.616666666667,2734.28125,2749.71875,12.5,10.1,22.0,42.102272727272734,82,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2949.85,2950.233333333333,2749.71875,2765.46875,9.8,7.4,23.0,41.086956521739125,83,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2950.6,2950.9166666666665,2765.46875,2776.53125,7.0,5.4,19.0,34.93421052631579,84,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2950.9333333333334,2953.2,2776.53125,2776.53125,5.4,22.3,136.0,0.0,85,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,2953.2,2953.3,2776.53125,2777.484375,22.3,22.3,6.0,9.53125,86,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2953.3166666666666,2953.616666666667,2777.484375,2777.484375,22.3,24.3,18.0,0.0,87,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,2953.616666666667,2953.6833333333334,2777.484375,2778.328125,24.3,24.7,4.0,12.65625,88,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2953.6833333333334,2956.7166666666667,2778.328125,2778.328125,24.7,51.3,182.0,0.0,89,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,2956.7166666666667,2956.75,2778.328125,2778.59375,51.3,51.3,2.0,7.96875,90,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2957.1666666666665,2957.383333333333,2778.609375,2790.234375,51.3,48.6,13.0,53.65384615384615,91,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2969.8333333333335,2970.133333333333,2790.234375,2800.4375,48.6,47.0,18.0,34.01041666666667,92,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2970.133333333333,2970.766666666667,2800.4375,2800.4375,47.0,50.5,38.0,0.0,93,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,2970.766666666667,2970.85,2800.4375,2802.875,50.5,50.5,5.0,29.25,94,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2970.866666666667,2971.1666666666665,2802.875,2802.875,50.5,52.5,18.0,0.0,95,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,2971.1666666666665,2971.4666666666667,2802.875,2811.671875,52.5,50.5,18.0,29.322916666666668,96,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2971.7,2973.15,2811.671875,2875.703125,50.5,39.6,87.0,44.15948275862069,97,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2973.15,2974.2833333333333,2875.703125,2875.75,39.6,38.8,68.0,0.04136029411764706,98,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2974.2833333333333,2974.5333333333333,2875.75,2886.8125,38.8,36.8,15.0,44.25,99,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2974.55,2974.5666666666666,2886.8125,2887.03125,36.8,36.8,1.0,13.125,100,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2974.5666666666666,2975.9666666666667,2887.03125,2887.03125,36.8,48.6,84.0,0.0,101,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,2975.9666666666667,2976.25,2887.03125,2895.171875,48.6,47.0,17.0,28.731617647058826,102,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2976.266666666667,2976.8,2895.171875,2900.703125,47.0,45.8,32.0,10.37109375,103,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2977.233333333333,2977.4166666666665,2900.703125,2910.1875,45.0,43.9,11.0,51.73295454545455,104,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2977.4166666666665,2979.95,2910.1875,2910.1875,43.9,65.8,152.0,0.0,105,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,2979.95,2980.1833333333334,2910.1875,2921.828125,65.8,63.1,14.0,49.888392857142854,106,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2998.75,2998.95,2921.828125,2928.125,63.9,63.1,12.0,31.484375,107,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2999.016666666667,2999.266666666667,2928.125,2935.0,63.1,61.9,15.0,27.5,108,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3000.133333333333,3000.5,2935.0,2948.328125,61.1,59.2,22.0,36.34943181818182,109,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3022.3333333333335,3022.6833333333334,2948.328125,2959.421875,58.8,57.6,21.0,31.696428571428573,110,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3022.7,3025.5333333333333,2959.421875,2959.421875,57.6,82.7,170.0,0.0,111,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,3025.5333333333333,3025.5666666666666,2959.421875,2959.578125,82.7,82.7,2.0,4.6875,112,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3027.15,3027.1833333333334,2959.578125,2960.015625,82.3,82.3,2.0,13.125,113,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3028.2833333333333,3028.45,2960.015625,2968.1875,81.9,80.3,10.0,49.03125,114,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3028.6833333333334,3028.9166666666665,2968.1875,2976.921875,80.0,78.0,14.0,37.433035714285715,115,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3040.0333333333333,3040.266666666667,2976.921875,2988.015625,78.0,76.8,14.0,47.544642857142854,116,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3040.2833333333333,3042.35,2988.015625,2988.015625,76.8,93.7,124.0,0.0,117,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,3042.35,3042.4,2988.015625,2988.203125,93.7,93.7,3.0,3.75,118,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3046.4166666666665,3046.7166666666667,2988.203125,2999.984375,93.3,90.9,18.0,39.270833333333336,119,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3050.0833333333335,3050.15,3000.0,3002.25,90.5,90.5,4.0,33.75,120,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3050.233333333333,3050.3,3002.25,3004.203125,90.5,89.8,4.0,29.296875,121,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3062.2833333333333,3062.366666666667,3004.203125,3006.359375,89.8,88.6,5.0,25.875,122,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3062.5,3062.5666666666666,3006.359375,3008.53125,88.6,88.6,4.0,32.578125,123,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3071.4333333333334,3071.633333333333,3008.546875,3015.46875,87.8,87.0,12.0,34.609375,124,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3071.8,3072.016666666667,3015.46875,3022.03125,86.6,85.0,13.0,30.288461538461537,125,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3089.5333333333333,3089.55,3022.03125,3022.578125,84.7,84.7,1.0,32.8125,126,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3089.5666666666666,3090.9166666666665,3022.578125,3022.578125,84.7,86.2,81.0,0.0,127,1.7326595783233643,0.6621506214141846,-0.7433038353919983,-0.24238353967666626
2.0,3090.9166666666665,3091.05,3022.578125,3025.53125,86.2,86.2,8.0,22.1484375,128,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3091.0833333333335,3093.25,3025.53125,3081.25,86.2,76.4,130.0,25.716346153846157,129,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3093.266666666667,3093.366666666667,3081.25,3083.78125,76.4,76.0,6.0,25.3125,130,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3093.383333333333,3093.9666666666667,3083.78125,3083.78125,76.0,76.0,35.0,0.0,131,1.7326595783233643,0.6621506214141846,-0.7433038353919983,-0.24238353967666626
2.0,3093.9666666666667,3096.1833333333334,3083.78125,3202.0,76.0,52.5,133.0,53.33176691729323,132,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3096.3,3096.866666666667,3202.0,3243.71875,52.1,41.9,34.0,73.62132352941177,133,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3097.1666666666665,3098.05,3243.71875,3317.84375,41.9,24.3,53.0,83.91509433962264,134,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3098.1,3098.133333333333,3317.84375,3318.3125,24.3,24.3,2.0,14.0625,135,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3098.15,3099.733333333333,3318.3125,3318.3125,24.3,38.4,95.0,0.0,136,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,3099.733333333333,3101.116666666667,3318.3125,3372.109375,38.4,29.8,83.0,38.88930722891566,137,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3101.1666666666665,3117.45,3372.109375,3372.109375,29.8,49.8,977.0,0.0,138,1.7326595783233643,0.6621506214141846,-0.7433038353919983,-0.24238353967666626
2.0,3117.45,3120.5333333333333,3372.109375,3475.96875,49.8,30.5,185.0,33.68412162162162,139,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3120.55,3120.633333333333,3475.96875,3475.96875,30.5,30.9,5.0,0.0,140,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,3120.633333333333,3121.1833333333334,3475.96875,3494.171875,30.9,27.4,33.0,33.09659090909091,141,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3121.25,3121.8333333333335,3494.171875,3513.078125,27.4,25.0,35.0,32.410714285714285,142,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3121.85,3123.95,3513.078125,3513.078125,25.0,43.5,126.0,0.0,143,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,3123.95,3124.0666666666666,3513.078125,3515.25,43.5,43.5,7.0,18.616071428571427,144,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3124.1,3126.983333333333,3515.25,3645.8125,43.5,16.8,173.0,45.28179190751445,145,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3127.0,3136.4,3645.8125,3645.8125,16.8,28.2,564.0,0.0,146,1.7326595783233643,0.6621506214141846,-0.7433038353919983,-0.24238353967666626
2.0,3136.4,3137.5666666666666,3645.8125,3696.296875,28.2,19.6,70.0,43.27232142857142,147,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3137.5833333333335,3139.616666666667,3696.296875,3696.296875,19.6,37.6,122.0,0.0,148,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,3139.616666666667,3141.1666666666665,3696.296875,3778.484375,37.6,21.9,93.0,53.024193548387096,149,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3141.1666666666665,3142.4,3778.484375,3778.484375,21.9,32.1,74.0,0.0,150,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,3142.4,3142.7166666666667,3778.484375,3790.109375,32.1,29.4,19.0,36.71052631578947,151,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3144.133333333333,3145.0,3790.109375,3822.453125,29.0,23.9,52.0,37.31971153846154,152,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3145.0333333333333,3145.483333333333,3822.453125,3852.03125,23.9,17.6,27.0,65.72916666666667,153,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3145.733333333333,3145.9,3852.03125,3857.46875,17.6,17.2,10.0,32.625,154,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3145.9,3147.4,3857.46875,3857.46875,17.2,31.3,90.0,0.0,155,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
2.0,3147.4,3147.6833333333334,3857.46875,3869.421875,31.3,30.1,17.0,42.1875,156,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,3147.7,3147.8333333333335,3869.421875,3869.421875,30.1,30.1,8.0,0.0,157,1.7326595783233643,0.6621506214141846,-0.7433038353919983,-0.24238353967666626
2.0,3147.8333333333335,3150.2833333333333,3869.421875,3997.6875,30.1,3.5,147.0,52.35331632653061,158,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
